Sun Jul 13 11:37:05 2025   Switch4   SW1(config-line)#login
Sun Jul 13 11:37:12 2025   Switch4   SW1(config-line)#exit
Sun Jul 13 11:37:26 2025   Switch4   SW1(config)#line console 0
Sun Jul 13 11:37:31 2025   Switch4   SW1(config-line)#line vty 0 4
Sun Jul 13 11:38:00 2025   Switch4   SW1(config-line)#password Cisco
Sun Jul 13 11:38:07 2025   Switch4   SW1(config-line)#login
Sun Jul 13 11:38:27 2025   Switch4   SW1(config-line)#transport input ssh
Sun Jul 13 11:38:31 2025   Switch4   SW1(config-line)#exit
Sun Jul 13 11:40:07 2025   Switch4   SW1(config)#ip domain-name ziggy.local
Sun Jul 13 11:40:28 2025   Switch4   SW1(config)#crypto key generate rsa
Sun Jul 13 11:41:31 2025   Switch4   SW1(config)#crypto key generate rsa
Sun Jul 13 11:50:59 2025   Switch4   SW1(config)#username admin privilege 15 secret securepass 
Sun Jul 13 11:51:17 2025   Switch4   SW1(config)#line vty 0 4
Sun Jul 13 11:51:26 2025   Switch4   SW1(config-line)#login local 
Sun Jul 13 11:51:44 2025   Switch4   SW1(config-line)#transport input ssh
Sun Jul 13 11:51:52 2025   Switch4   SW1(config-line)#end
Sun Jul 13 11:52:05 2025   Switch4   SW1#configure t
Sun Jul 13 12:00:01 2025   Switch4   SW1(config)#interface range fa0/6 - 24
Sun Jul 13 12:07:18 2025   Switch4   SW1(config-if-range)#switchport mode access
Sun Jul 13 12:07:42 2025   Switch4   SW1(config-if-range)#switchport access vlan 99
Sun Jul 13 12:07:49 2025   Switch4   SW1(config-if-range)#shutdown
Sun Jul 13 12:25:37 2025   SW1   SW1>en
Sun Jul 13 12:27:16 2025   SW1   SW1#show vlan brief
Sun Jul 13 12:41:26 2025   SW1   SW1>en
Sun Jul 13 13:38:03 2025   SW1   SW1>en
Sun Jul 13 13:38:18 2025   SW1   SW1#config ter
Sun Jul 13 13:38:38 2025   SW1   SW1(config)#interface range fa0/1 - 3
Sun Jul 13 13:38:44 2025   SW1   SW1(config-if-range)#switchport mode access
Sun Jul 13 13:38:54 2025   SW1   SW1(config-if-range)#switchport port-security
Sun Jul 13 13:39:23 2025   SW1   SW1(config-if-range)#switchport port-security maximum 1
Sun Jul 13 13:39:44 2025   SW1   SW1(config-if-range)#switchport port-security violation restrict 
Sun Jul 13 13:40:17 2025   SW1   SW1(config-if-range)#switchport port-security mac-address sticky
Sun Jul 13 13:43:46 2025   SW1   SW1(config-if-range)#end
Sun Jul 13 13:43:56 2025   SW1   SW1#show vlan brief
Sun Jul 13 13:44:16 2025   SW1   SW1#show ip interface br
Sun Jul 13 13:45:02 2025   SW1   SW1#config term
Sun Jul 13 13:45:10 2025   SW1   SW1(config)#interface vlan 99
Sun Jul 13 13:45:21 2025   SW1   SW1(config-if)#ip default-gateway 192.168.99.1
Sun Jul 13 13:45:35 2025   SW1   SW1(config)#do show interface vlan99 br
Sun Jul 13 13:45:37 2025   SW1   SW1(config)#do show interface vlan99 
Sun Jul 13 13:48:17 2025   Main - R1   R1>en
Sun Jul 13 13:48:21 2025   Main - R1   R1#config term
Sun Jul 13 13:48:37 2025   Main - R1   R1(config)#ip dhcp ?
Sun Jul 13 13:49:10 2025   Main - R1   R1(config)#ip dhcp excluded-address 192.168.10.1 192.168.10.10
Sun Jul 13 13:49:30 2025   Main - R1   R1(config)#p dhcp pool VLAN10
Sun Jul 13 13:49:36 2025   Main - R1   R1(config)#ip dhcp pool VLAN10
Sun Jul 13 13:50:07 2025   Main - R1   R1(dhcp-config)#network 192.168.10.0 255.255.255.0
Sun Jul 13 13:50:26 2025   Main - R1   R1(dhcp-config)#default-router 192.168.10.254
Sun Jul 13 13:50:37 2025   Main - R1   R1(dhcp-config)#dns-server 1.1.1.1
